ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	term	Ont
GO:0005125	GO:0005125	9/192	80/11754	5.85739E-06	0.01779341	0.01779341	CXCL13/CXCL13L2/CXCL13L3/FGF2/IL15/IL2/IL21/IL8L1/IL8L2	9	cytokine activity	MF
GO:0008009	GO:0008009	5/192	18/11754	7.9577E-06	0.01779341	0.01779341	CXCL13/CXCL13L2/CXCL13L3/IL8L1/IL8L2	5	chemokine activity	MF
GO:0048018	GO:0048018	14/192	238/11754	3.55767E-05	0.045640428	0.045640428	AREG/BMP3/CXCL13/CXCL13L2/CXCL13L3/EPGN/EREG/FGF2/FGF5/IL15/IL2/IL21/IL8L1/IL8L2	14	receptor ligand activity	MF
GO:0030546	GO:0030546	14/192	241/11754	4.08233E-05	0.045640428	0.045640428	AREG/BMP3/CXCL13/CXCL13L2/CXCL13L3/EPGN/EREG/FGF2/FGF5/IL15/IL2/IL21/IL8L1/IL8L2	14	signaling receptor activator activity	MF
GO:0030545	GO:0030545	14/192	252/11754	6.63187E-05	0.059315446	0.059315446	AREG/BMP3/CXCL13/CXCL13L2/CXCL13L3/EPGN/EREG/FGF2/FGF5/IL15/IL2/IL21/IL8L1/IL8L2	14	signaling receptor regulator activity	MF
GO:0042379	GO:0042379	5/192	29/11754	9.53113E-05	0.071038718	0.071038718	CXCL13/CXCL13L2/CXCL13L3/IL8L1/IL8L2	5	chemokine receptor binding	MF
GO:0005126	GO:0005126	9/192	122/11754	0.000171018	0.109256236	0.109256236	CXCL13/CXCL13L2/CXCL13L3/IL15/IL2/IL21/IL8L1/IL8L2/STAP1	9	cytokine receptor binding	MF
GO:0045741	GO:0045741	3/192	10/11754	0.000473164	0.264498953	0.264498953	AREG/EPGN/EREG	3	positive regulation of epidermal growth factor-activated receptor activity	BP
GO:0030297	GO:0030297	3/192	11/11754	0.000642795	0.290634441	0.290634441	AREG/EPGN/EREG	3	transmembrane receptor protein tyrosine kinase activator activity	MF
GO:0030296	GO:0030296	4/192	25/11754	0.000667107	0.290634441	0.290634441	AREG/EPGN/EREG/STAP1	4	protein tyrosine kinase activator activity	MF
GO:0008146	GO:0008146	5/192	44/11754	0.000714888	0.290634441	0.290634441	NDST3/NDST4/SULT1B/SULT1B1/SULT1E1	5	sulfotransferase activity	MF
GO:0030202	GO:0030202	3/192	12/11754	0.000846783	0.308407026	0.308407026	EDNRA/HPSE/SLC10A7	3	heparin metabolic process	BP
GO:0044344	GO:0044344	6/192	69/11754	0.000896532	0.308407026	0.308407026	FAT4/FGF2/FGF5/HHIP/NDNF/SPRY1	6	cellular response to fibroblast growth factor stimulus	BP
GO:0071774	GO:0071774	6/192	70/11754	0.000967476	0.309039351	0.309039351	FAT4/FGF2/FGF5/HHIP/NDNF/SPRY1	6	response to fibroblast growth factor	BP
GO:0051054	GO:0051054	9/192	171/11754	0.001969663	0.510064402	0.510064402	EREG/FAM175A/FGF2/HELQ/HNRNPD/OTUD4/SMARCA5/TNKS/WRN	9	positive regulation of DNA metabolic process	BP
GO:0072243	GO:0072243	3/192	16/11754	0.00205411	0.510064402	0.510064402	FAT4/FGF2/PKD2	3	metanephric nephron epithelium development	BP
GO:0008408	GO:0008408	4/192	34/11754	0.002181051	0.510064402	0.510064402	CNOT6L/ERI1/NOCT/WRN	4	3'-5' exonuclease activity	MF
GO:0051052	GO:0051052	12/192	281/11754	0.002233171	0.510064402	0.510064402	ANKRD17/CCNA2/EREG/FAM175A/FGF2/HELQ/HNRNPD/JADE1/OTUD4/SMARCA5/TNKS/WRN	12	regulation of DNA metabolic process	BP
GO:0008543	GO:0008543	5/192	57/11754	0.002323211	0.510064402	0.510064402	FAT4/FGF2/FGF5/HHIP/SPRY1	5	fibroblast growth factor receptor signaling pathway	BP
GO:0019730	GO:0019730	3/192	17/11754	0.002464487	0.510064402	0.510064402	CXCL13/IL8L2/JCHAIN	3	antimicrobial humoral response	BP
GO:0016782	GO:0016782	5/192	58/11754	0.002509261	0.510064402	0.510064402	NDST3/NDST4/SULT1B/SULT1B1/SULT1E1	5	"transferase activity, transferring sulphur-containing groups"	MF
GO:0061157	GO:0061157	5/192	59/11754	0.002705898	0.52612069	0.52612069	CNOT6L/EXOSC9/HNRNPD/METTL14/NOCT	5	mRNA destabilization	BP
GO:0007176	GO:0007176	3/192	18/11754	0.00292209	0.531166073	0.531166073	AREG/EPGN/EREG	3	regulation of epidermal growth factor-activated receptor activity	BP
GO:0050779	GO:0050779	5/192	61/11754	0.003132297	0.531166073	0.531166073	CNOT6L/EXOSC9/HNRNPD/METTL14/NOCT	5	RNA destabilization	BP
GO:0061014	GO:0061014	5/192	61/11754	0.003132297	0.531166073	0.531166073	CNOT6L/EXOSC9/HNRNPD/METTL14/NOCT	5	positive regulation of mRNA catabolic process	BP
GO:0016604	GO:0016604	17/192	497/11754	0.003206951	0.531166073	0.531166073	BMP2K/COPS4/ELF2/FAM175A/GTF2E2/IL15/JADE1/MAML3/NAA15/NUDT9/POU4F2/PRDM5/PRDM8/TNKS/WDFY3/WRN/YTHDC1	17	nuclear body	CC
